"ID","FIXED_ACIDITY","VOLATILE_ACIDITY","CITRIC_ACID","RESIDUAL_SUGAR","CHLORIDES","FREE_SULFUR_DIOXIDE","TOTAL_SULFUR_DIOXIDE","DENSITY","PH","SULPHATES","ALCOHOL","QUALITY"
58,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,"0"
59,5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5,"0"
60,5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,"1"
61,5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,"1"
62,5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,"1"
63,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,"1"
64,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,"1"
65,5.1,0.3,0.3,2.3,0.048,40,150,0.98944,3.29,0.46,12.2,"1"
66,5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.33333333,"0"
67,5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,"1"
68,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,"1"
69,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,"1"
70,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,"1"
71,5.1,0.33,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11,"1"
72,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,"1"
73,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,"1"
74,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,"1"
75,5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,"1"
76,5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,"1"
77,5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,"0"
78,5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,"1"
79,5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,"1"
80,5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,"1"
81,5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,"0"
82,5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,"1"
83,5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,"1"
84,5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,"1"
85,5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.733333333,"0"
86,5.2,0.24,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,"1"
87,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,"1"
88,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,"1"
89,5.2,0.25,0.23,1.4,0.047,20,77,0.99001,3.32,0.62,11.4,"0"
90,5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,"1"
91,5.2,0.285,0.29,5.15,0.035,64,138,0.9895,3.19,0.34,12.4,"1"
92,5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,"1"
93,5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,"1"
94,5.2,0.31,0.36,5.1,0.031,46,145,0.9897,3.14,0.31,12.4,"1"
95,5.2,0.335,0.2,1.7,0.033,17,74,0.99002,3.34,0.48,12.3,"1"
96,5.2,0.34,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5,"1"
97,5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,"1"
98,5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,"1"
99,5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,"1"
100,5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,"1"
101,5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,"0"
102,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,"1"
103,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,"1"
104,5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,"1"
105,5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,"0"
106,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,"1"
107,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,"1"
108,5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,"0"
109,5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,"1"
110,5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,"0"
111,5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,"0"
112,5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,"1"
113,5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,"1"
114,5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,"1"
115,5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,"1"
116,5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,"0"
117,5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,"1"
118,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,"1"
119,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,"1"
120,5.3,0.32,0.12,6.6,0.043,22,141,0.9937,3.36,0.6,10.4,"1"
121,5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,"1"
122,5.3,0.33,0.3,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,"1"
123,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,"1"
124,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,"1"
125,5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,"1"
126,5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,"1"
127,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,"0"
128,5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,"0"
129,5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,"0"
130,5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,"1"
131,5.3,0.6,0.34,1.4,0.031,3,60,0.98854,3.27,0.38,13,"1"
132,5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,"0"
133,5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,"1"
134,5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,"1"
135,5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,"1"
136,5.4,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,"1"
137,5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,"1"
138,5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,"1"
139,5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,"1"
140,5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,"1"
141,5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,"0"
142,5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,"1"
143,5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,"1"
144,5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,"1"
145,5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,"1"
146,5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,"1"
147,5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,"1"
148,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,"1"
149,5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,"0"
150,5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,"1"
151,5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,"0"
152,5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,"1"
153,5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,"1"
154,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,"1"
155,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,"1"
156,5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,"1"
157,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,"1"
158,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,"1"
159,5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,"1"
160,5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,"0"
161,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,"0"
162,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,"0"
163,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,"0"
164,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,"0"
165,5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,"1"
166,5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,"1"
167,5.5,0.16,0.26,1.5,0.032,35,100,0.99076,3.43,0.77,12,"1"
168,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.63333333,"1"
169,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,"1"
170,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,"0"
171,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,"0"
172,5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,"0"
173,5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,"0"
174,5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,"1"
175,5.5,0.23,0.19,2.2,0.044,39,161,0.99209,3.19,0.43,10.4,"1"
176,5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,"0"
177,5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,"0"
178,5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,"0"
179,5.5,0.29,0.3,1.1,0.022,20,110,0.98869,3.34,0.38,12.8,"1"
180,5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,"1"
181,5.5,0.31,0.29,3,0.027,16,102,0.99067,3.23,0.56,11.2,"1"
182,5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,"1"
183,5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,"0"
184,5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5,"1"
185,5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,"1"
186,5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,"1"
187,5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,"1"
188,5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,"1"
189,5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,"1"
190,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,"0"
191,5.5,0.62,0.33,1.7,0.037,24,118,0.98758,3.15,0.39,13.55,"1"
192,5.6,0.12,0.26,4.3,0.038,18,97,0.99477,3.36,0.46,9.2,"0"
193,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,"1"
194,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,"1"
195,5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,"1"
196,5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,"1"
197,5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,"1"
198,5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,"1"
199,5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,"1"
200,5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,"1"
201,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,"0"
202,5.6,0.18,0.3,10.2,0.028,28,131,0.9954,3.49,0.42,10.8,"1"
203,5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,"1"
204,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,"1"
205,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,"1"
206,5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,"1"
207,5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,"1"
208,5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,"1"
209,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,"1"
210,5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,"0"
211,5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2,"1"
212,5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,"1"
213,5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,"1"
214,5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,"1"
215,5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,"0"
216,5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10,"1"
217,5.6,0.2,0.66,10.2,0.043,78,175,0.9945,2.98,0.43,10.4,"1"
218,5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,"1"
219,5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,"1"
220,5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,"1"
221,5.6,0.22,0.32,1.2,0.024,29,97,0.98823,3.2,0.46,13.05,"1"
222,5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,"1"
223,5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,"1"
224,5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,"1"
225,5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,"1"
226,5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,"1"
227,5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,"0"
228,5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,"1"
229,5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,"1"
230,5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,"1"
231,5.6,0.255,0.57,10.7,0.056,66,171,0.99464,3.25,0.61,10.4,"1"
232,5.6,0.26,0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,"1"
233,5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,"1"
234,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,"0"
235,5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7,"1"
236,5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,"1"
237,5.6,0.27,0.37,0.9,0.025,11,49,0.98845,3.29,0.33,13.1,"1"
238,5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7,"1"
239,5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,"1"
240,5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,"1"
241,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,"0"
242,5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,"0"
243,5.6,0.295,0.26,1.1,0.035,40,102,0.99154,3.47,0.56,10.6,"1"
244,5.6,0.3,0.1,6.4,0.043,34,142,0.99382,3.14,0.48,9.8,"0"
245,5.6,0.32,0.32,8.3,0.043,32,105,0.99266,3.24,0.47,11.2,"1"
246,5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,"1"
247,5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,"1"
248,5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,"1"
249,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,"1"
250,5.6,0.34,0.25,2.5,0.046,47,182,0.99093,3.21,0.4,11.3,"0"
251,5.6,0.34,0.3,6.9,0.038,23,89,0.99266,3.25,0.49,11.1,"1"
252,5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,"0"
253,5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,"0"
254,5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,"1"
255,5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,"0"
256,5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,"0"
257,5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,"1"
258,5.6,0.42,0.34,2.4,0.022,34,97,0.98915,3.22,0.38,12.8,"1"
259,5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,"1"
260,5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,"1"
261,5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,"1"
262,5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,"0"
263,5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,"0"
264,5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,"1"
265,5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,"1"
266,5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,"0"
267,5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,"1"
268,5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,"1"
269,5.7,0.15,0.47,11.4,0.035,49,128,0.99456,3.03,0.34,10.5,"1"
270,5.7,0.16,0.26,6.3,0.043,28,113,0.9936,3.06,0.58,9.9,"1"
271,5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11,"0"
272,5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,"0"
273,5.7,0.18,0.26,2.2,0.023,21,95,0.9893,3.07,0.54,12.3,"1"
274,5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,"1"
275,5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,"1"
276,5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9,"1"
277,5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,"1"
278,5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,"1"
279,5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,"1"
280,5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,"1"
281,5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,10.6,"1"
282,5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,"1"
283,5.7,0.21,0.37,4.5,0.04,58,140,0.99332,3.29,0.62,10.6,"1"
284,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"1"
285,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"1"
286,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"1"
287,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"1"
288,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"1"
289,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,"1"
290,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,"1"
291,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,"1"
292,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,"1"
293,5.7,0.22,0.25,1.1,0.05,97,175,0.99099,3.44,0.62,11.1,"1"
294,5.7,0.22,0.28,1.3,0.027,26,101,0.98948,3.35,0.38,12.5,"1"
295,5.7,0.22,0.29,3.5,0.04,27,146,0.98999,3.17,0.36,12.1,"1"
296,5.7,0.22,0.33,1.9,0.036,37,110,0.98945,3.26,0.58,12.4,"1"
